date,country,continent,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
July 2021,Afghanistan,Asia,122156,1940,45184,5048,86
July 2021,Albania,Europe,132523,2,53,2456,0
July 2021,Algeria,Africa,140075,449,38969,3726,10
July 2021,Andorra,Europe,13918,7,70,127,0
July 2021,Angola,Africa,38965,116,4791,903,3
July 2021,Anguilla,North America,109,0,0,,
July 2021,Antigua And Barbuda,North America,1264,1,0,42,0
July 2021,Argentina,South America,4491551,21177,304726,94772,468
July 2021,Armenia,Asia,225221,126,3822,4517,3
July 2021,Aruba,North America,11140,2,28,107,0
July 2021,Australia,Australia/Oceania,30644,33,376,910,0
July 2021,Austria,Europe,650474,62,1859,10706,4
July 2021,Azerbaijan,Asia,336122,75,872,4975,1
July 2021,Bahamas,North America,12735,149,886,246,0
July 2021,Bahrain,Asia,265975,148,2882,1353,1
July 2021,Bangladesh,Asia,921559,8301,86000,14646,143
July 2021,Barbados,North America,4082,1,36,47,0
July 2021,Belarus,Europe,418212,1023,4075,3153,10
July 2021,Belgium,Europe,1085131,581,23127,25173,3
July 2021,Belize,North America,13300,49,306,329,0
July 2021,Benin,Africa,8199,0,95,104,0
July 2021,Bermuda,North America,2514,0,15,33,0
July 2021,Bhutan,Asia,2104,4,292,1,0
July 2021,Bolivia,South America,439624,2001,61931,16767,65
July 2021,Bosnia And Herzegovina,Europe,205032,10,11844,9654,0
July 2021,Botswana,Africa,71443,1763,3962,1158,33
July 2021,Brazil,South America,18678474,63620,1227013,520189,1943
July 2021,British Virgin Islands,North America,350,37,49,1,0
July 2021,Brunei Darussalam,Asia,261,1,10,3,0
July 2021,Bulgaria,Europe,421902,73,8905,18067,6
July 2021,Burkina Faso,Africa,13485,6,9,168,0
July 2021,Burundi,Africa,5482,30,4701,8,0
July 2021,Cabo Verde,Africa,32594,70,615,287,1
July 2021,Cambodia,Asia,51384,999,5898,628,26
July 2021,Cameroon,Africa,80858,0,1310,1324,0
July 2021,Canada,North America,1415310,26,7072,26295,0
July 2021,Caribbean Netherlands,North America,1650,1,20,17,0
July 2021,Cayman Islands,North America,614,0,9,2,0
July 2021,Central African Republic,Africa,7141,0,184,98,0
July 2021,Chad,Africa,4951,0,8,174,0
July 2021,Channel Islands,Europe,4448,65,368,86,0
July 2021,Chile,South America,1558557,2655,23558,32588,43
July 2021,China Hong Kong Sar,Asia,11928,4,86,211,0
July 2021,China Macao Sar,Asia,54,0,3,,
July 2021,China,South America,91792,12,438,4636,0
July 2021,Colombia,South America,4269297,28315,198086,107137,593
July 2021,Comoros,Africa,3943,7,32,146,0
July 2021,Congo,Africa,12695,99,1318,166,1
July 2021,Costa Rica,North America,369540,1602,69994,4674,7
July 2021,Cote D Ivoire,Africa,48378,73,201,315,2
July 2021,Croatia,Europe,359975,103,525,8209,3
July 2021,Cuba,North America,193945,2952,16613,1302,18
July 2021,Curacao,North America,12343,1,20,126,0
July 2021,Cyprus,Asia,76333,473,3278,374,0
July 2021,Czech Republic,Europe,1667734,136,771,30361,1
July 2021,Democratic Republic Of The Congo,Africa,41353,112,11998,933,5
July 2021,Denmark,Europe,294152,475,3141,2535,1
July 2021,Djibouti,Africa,11602,0,4,155,0
July 2021,Dominica,North America,193,0,2,,
July 2021,Dominican Republic,North America,326193,972,54957,3840,18
July 2021,Ecuador,South America,459538,1034,4807,31043,43
July 2021,Egypt,Africa,281524,242,53271,16194,25
July 2021,El Salvador,North America,79360,202,4401,2387,6
July 2021,Equatorial Guinea,Africa,8742,8,86,122,1
July 2021,Eritrea,Africa,6028,19,444,25,2
July 2021,Estonia,Europe,131084,20,2399,1269,0
July 2021,Ethiopia,Africa,276250,76,11188,4325,5
July 2021,Faeroe Islands,Europe,778,2,13,1,0
July 2021,Falkland Islands Malvinas,South America,63,0,0,,
July 2021,Fiji,Australia/Oceania,4849,431,3907,24,3
July 2021,Finland,Europe,95964,222,48991,973,0
July 2021,France,Europe,5777965,2664,44098,111111,29
July 2021,French Guiana,South America,27628,92,17487,146,1
July 2021,French Polynesia,Australia/Oceania,19007,0,14,142,0
July 2021,Gabon,Africa,25054,0,166,159,0
July 2021,Gambia,Africa,6079,0,40,181,0
July 2021,Georgia,Asia,367058,980,9107,5327,11
July 2021,Germany,Europe,3736940,717,19710,91530,71
July 2021,Ghana,Africa,95914,0,1674,796,0
July 2021,Gibraltar,Europe,4351,3,28,94,0
July 2021,Greece,Europe,423185,729,5086,12691,4
July 2021,Greenland,North America,50,0,0,,
July 2021,Grenada,North America,161,0,0,1,
July 2021,Guadeloupe,North America,17028,0,14548,230,0
July 2021,Guatemala,North America,296438,2855,21804,9282,67
July 2021,Guinea Bissau,Africa,3869,10,212,69,0
July 2021,Guinea,Africa,23787,17,1138,172,1
July 2021,Guyana,South America,20142,87,1560,473,4
July 2021,Haiti,North America,18665,7,5362,438,2
July 2021,Holy See,Europe,27,0,0,,
July 2021,Honduras,North America,262760,691,163301,7005,25
July 2021,Hungary,Europe,808160,32,38964,29992,0
July 2021,Iceland,Europe,6654,5,24,30,0
July 2021,India,Asia,30453937,43360,512732,405118,810
July 2021,Indonesia,Asia,2203108,24836,253826,58995,504
July 2021,Iran,Asia,3218860,14303,244532,84389,125
July 2021,Iraq,Asia,1353458,7554,86121,17216,30
July 2021,Ireland,Europe,272784,448,10454,5000,2
July 2021,Isle Of Man,Europe,1620,7,22,29,0
July 2021,Israel,Asia,842067,290,2039,6428,0
July 2021,Italy,Europe,4260788,882,49358,127587,21
July 2021,Jamaica,North America,50166,42,18894,1080,5
July 2021,Japan,Asia,799975,1816,16866,14781,41
July 2021,Jordan,Asia,751937,533,6571,9756,6
July 2021,Kazakhstan,Asia,425573,2436,24802,4375,26
July 2021,Kenya,Africa,184537,376,10191,3640,6
July 2021,Kuwait,Asia,358511,1824,18703,1979,10
July 2021,Kyrgyzstan,Asia,126395,1392,13688,2009,9
July 2021,Laos,Asia,2144,23,155,3,0
July 2021,Latvia,Europe,137500,71,918,2520,7
July 2021,Lebanon,Asia,545016,150,4386,7854,3
July 2021,Lesotho,Africa,11416,72,4630,329,0
July 2021,Liberia,Africa,4304,211,1783,129,1
July 2021,Libya,Africa,193905,431,12086,3198,5
July 2021,Liechtenstein,Europe,3039,3,17,59,0
July 2021,Lithuania,Europe,278796,12,6689,4386,3
July 2021,Luxembourg,Europe,70895,108,351,818,0
July 2021,Macedonia,Europe,155689,5,141,5485,1
July 2021,Madagascar,Africa,42247,31,681,915,2
July 2021,Malawi,Africa,36359,233,1932,1199,3
July 2021,Malaysia,Asia,758967,6988,65453,5254,84
July 2021,Maldives,Asia,73931,133,3393,213,3
July 2021,Mali,Africa,14428,2,3841,525,0
July 2021,Malta,Europe,30627,4,46,420,0
July 2021,Marshall Islands,Australia/Oceania,4,0,0,,
July 2021,Martinique,North America,12374,0,12178,98,0
July 2021,Mauritania,Africa,20894,86,589,489,0
July 2021,Mauritius,Africa,1932,40,348,18,0
July 2021,Mayotte,Africa,19405,0,16267,174,0
July 2021,Mexico,North America,2519269,6105,285692,233047,244
July 2021,Micronesia,Australia/Oceania,1,0,0,,
July 2021,Moldova,Europe,256816,82,848,6194,0
July 2021,Monaco,Europe,2580,3,26,33,0
July 2021,Mongolia,Asia,117963,2485,38129,578,15
July 2021,Montenegro,Europe,100272,20,288,1613,0
July 2021,Montserrat,North America,20,0,0,1,
July 2021,Morocco,Africa,532150,789,4751,9298,2
July 2021,Mozambique,Africa,77205,801,4830,884,6
July 2021,Myanmar,Asia,159347,2070,19008,3347,13
July 2021,Namibia,Africa,91208,1291,21872,1556,35
July 2021,Nepal,Asia,640662,1857,31368,9145,33
July 2021,Netherlands,Europe,1685825,825,34042,17748,3
July 2021,New Caledonia,Australia/Oceania,129,0,71,,
July 2021,New Zealand,Australia/Oceania,2742,0,30,26,0
July 2021,Nicaragua,North America,8178,0,3762,191,0
July 2021,Niger,Africa,5492,3,92,193,0
July 2021,Nigeria,Africa,167692,74,1298,2121,1
July 2021,Norway,Europe,131509,193,41763,794,0
July 2021,Oman,Asia,270504,1959,30376,3140,40
July 2021,Pakistan,Asia,958408,1037,31767,22321,40
July 2021,Panama,North America,404983,1205,12760,6552,7
July 2021,Papua New Guinea,Australia/Oceania,17098,0,407,173,0
July 2021,Paraguay,South America,424998,1716,38728,13017,122
July 2021,Peru,South America,2057554,3079,,192687,122
July 2021,Philippines,Asia,1418326,5784,51679,24796,134
July 2021,Poland,Europe,2880011,99,153061,75044,23
July 2021,Portugal,Europe,882006,2449,34681,17101,5
July 2021,Qatar,Asia,222217,146,1641,591,1
July 2021,Reunion,Africa,30583,0,1761,237,0
July 2021,Romania,Europe,1080823,31,1253,34219,7
July 2021,Russia,Europe,5538142,23543,384935,135886,672
July 2021,Rwanda,Africa,39914,867,12194,448,10
July 2021,Saint Barthelemy,North America,1005,0,542,1,
July 2021,Saint Helena,Africa,2,0,0,,
July 2021,Saint Kitts And Nevis,North America,457,11,255,3,0
July 2021,Saint Lucia,North America,5302,6,94,84,0
July 2021,Saint Martin,North America,2314,38,879,36,0
July 2021,Saint Pierre And Miquelon,North America,26,0,0,,
July 2021,Saint Vincent And The Grenadines,North America,2227,2,209,12,0
July 2021,Samoa,Australia/Oceania,3,0,0,,
July 2021,San Marino,Europe,5091,0,1,90,0
July 2021,Sao Tome And Principe,Africa,2369,3,12,37,0
July 2021,Saudi Arabia,Asia,489126,1534,12174,7832,13
July 2021,Senegal,Africa,43263,130,608,1168,2
July 2021,Serbia,Europe,716643,81,1890,7047,0
July 2021,Seychelles,Africa,15579,0,1146,68,0
July 2021,Sierra Leone,Africa,5652,77,1988,102,2
July 2021,Singapore,Asia,62589,10,319,36,0
July 2021,Sint Maarten,North America,2618,0,38,33,0
July 2021,Slovakia,Europe,391659,17,448,12511,1
July 2021,Slovenia,Europe,257358,23,571,4419,0
July 2021,Solomon Islands,Australia/Oceania,20,0,0,,
July 2021,Somalia,Africa,14946,0,6925,775,0
July 2021,South Africa,Africa,1995556,21584,179734,61029,382
July 2021,South Korea,Asia,157723,762,7678,2021,3
July 2021,South Sudan,Africa,10846,12,215,117,0
July 2021,Spain,Europe,3821305,12345,136838,80883,8
July 2021,Sri Lanka,Asia,260972,1883,30012,3120,43
July 2021,State Of Palestine,Asia,314288,121,2420,3565,2
July 2021,Sudan,Africa,36709,51,3406,2760,6
July 2021,Suriname,South America,21936,204,3573,531,9
July 2021,Swaziland,Africa,19084,0,299,678,0
July 2021,Sweden,Europe,1090928,281,15134,14609,1
July 2021,Switzerland,Europe,703176,172,7661,10894,3
July 2021,Syria,Asia,25551,36,1841,1879,3
July 2021,Taiwan,Asia,14853,50,2584,661,13
July 2021,Tajikistan,Asia,13523,24,115,90,0
July 2021,Tanzania,Africa,509,0,305,21,0
July 2021,Thailand,Asia,264834,5533,52052,2080,57
July 2021,Timor Leste,Asia,9278,56,829,24,1
July 2021,Togo,Africa,13962,45,315,130,1
July 2021,Trinidad And Tobago,North America,33029,236,6943,857,10
July 2021,Tunisia,Africa,426879,6776,55493,15065,106
July 2021,Turkey,Asia,5430940,5288,80662,49774,42
July 2021,Turks And Caicos Islands,North America,2425,0,9,18,0
July 2021,Uganda,Africa,81034,1057,25694,1789,64
July 2021,UK,Europe,4825655,27550,369901,128198,22
July 2021,Ukraine,Europe,2235801,705,15023,52391,51
July 2021,United Arab Emirates,Asia,634582,1675,19765,1819,8
July 2021,Uruguay,South America,370600,1250,14690,5619,26
July 2021,USA,North America,34432148,17583,4761800,621066,314
July 2021,Uzbekistan,Asia,111153,476,2717,740,4
July 2021,Vanuatu,Australia/Oceania,4,0,0,1,
July 2021,Venezuela,South America,274024,1312,15632,3136,17
July 2021,Viet Nam,Asia,17576,713,10248,81,0
July 2021,Wallis And Futuna Islands,Australia/Oceania,445,0,0,7,0
July 2021,Western Sahara,Africa,10,0,1,1,
July 2021,Yemen,Asia,6923,3,1481,1361,0
July 2021,Zambia,Africa,157832,2884,21142,2271,72
July 2021,Zimbabwe,Africa,51221,1357,10002,1808,19
June 2021,Afghanistan,Asia,74026,1045,13278,3007,33
June 2021,Albania,Europe,132337,22,413,2451,0
June 2021,Algeria,Africa,129318,405,35781,3480,8
June 2021,Andorra,Europe,13729,2,123,127,0
June 2021,Angola,Africa,34752,201,5790,772,6
June 2021,Anguilla,North America,109,0,0,,
June 2021,Antigua And Barbuda,North America,1260,0,5,42,0
June 2021,Argentina,South America,3817139,35355,357069,78733,640
June 2021,Armenia,Asia,222778,108,4904,4445,7
June 2021,Aruba,North America,10993,8,47,107,0
June 2021,Australia,Australia/Oceania,30118,12,119,910,0
June 2021,Austria,Europe,645152,337,4824,10615,12
June 2021,Azerbaijan,Asia,334132,176,4171,4921,8
June 2021,Bahamas,North America,11849,53,869,230,0
June 2021,Bahrain,Asia,242790,2259,27954,1009,29
June 2021,Bangladesh,Asia,802305,1765,47494,12660,41
June 2021,Barbados,North America,4017,0,48,47,0
June 2021,Belarus,Europe,395075,636,6126,2861,10
June 2021,Belgium,Europe,1062001,801,71757,24955,15
June 2021,Belize,North America,12819,10,77,325,1
June 2021,Benin,Africa,8058,0,64,101,0
June 2021,Bermuda,North America,2494,0,20,33,0
June 2021,Bhutan,Asia,1632,12,323,1,0
June 2021,Bolivia,South America,371279,2805,61482,14524,53
June 2021,Bosnia And Herzegovina,Europe,204093,81,19367,9270,17
June 2021,Botswana,Africa,54973,0,2788,926,0
June 2021,Brazil,South America,16669239,78313,1135781,465312,2346
June 2021,British Virgin Islands,North America,248,0,38,1,0
June 2021,Brunei Darussalam,Asia,244,1,10,3,0
June 2021,Bulgaria,Europe,418813,236,17322,17726,26
June 2021,Burkina Faso,Africa,13435,1,12,167,1
June 2021,Burundi,Africa,4803,13,4024,6,0
June 2021,Cabo Verde,Africa,30523,84,1455,264,0
June 2021,Cambodia,Asia,30710,616,7101,220,6
June 2021,Cameroon,Africa,78929,0,3680,1275,0
June 2021,Canada,North America,1383215,1633,31164,25566,19
June 2021,Caribbean Netherlands,North America,1614,1,17,17,0
June 2021,Cayman Islands,North America,584,0,11,2,0
June 2021,Central African Republic,Africa,7091,0,134,98,0
June 2021,Chad,Africa,4934,3,14,173,0
June 2021,Channel Islands,Europe,4066,0,24,86,0
June 2021,Chile,South America,1389357,5011,44153,29344,44
June 2021,China Hong Kong Sar,Asia,11849,7,67,210,0
June 2021,China Macao Sar,Asia,51,0,2,,
June 2021,China,South America,91122,23,337,4636,0
June 2021,Colombia,South America,3432422,25966,149719,89297,523
June 2021,Comoros,Africa,3881,0,16,146,0
June 2021,Congo,Africa,11658,0,914,153,0
June 2021,Costa Rica,North America,321279,2293,72623,4074,33
June 2021,Cote D Ivoire,Africa,47319,27,255,306,1
June 2021,Croatia,Europe,356397,216,1843,8034,8
June 2021,Cuba,North America,143323,1057,6019,965,7
June 2021,Curacao,North America,12273,1,23,122,0
June 2021,Cyprus,Asia,72515,58,2417,360,0
June 2021,Czech Republic,Europe,1662435,513,6242,30287,10
June 2021,Democratic Republic Of The Congo,Africa,31816,165,3364,786,4
June 2021,Denmark,Europe,282135,908,12993,2516,0
June 2021,Djibouti,Africa,11537,4,8,154,0
June 2021,Dominica,North America,188,0,2,,
June 2021,Dominican Republic,North America,294021,1235,48581,3634,6
June 2021,Ecuador,South America,427690,1653,22430,30109,46
June 2021,Egypt,Africa,263606,956,55647,15136,40
June 2021,El Salvador,North America,73851,149,2796,2252,3
June 2021,Equatorial Guinea,Africa,8572,43,265,118,0
June 2021,Eritrea,Africa,4117,23,248,14,0
June 2021,Estonia,Europe,129674,131,5179,1258,6
June 2021,Ethiopia,Africa,271790,249,28144,4171,6
June 2021,Faeroe Islands,Europe,721,3,45,1,0
June 2021,Falkland Islands Malvinas,South America,63,0,0,,
June 2021,Fiji,Australia/Oceania,473,35,302,4,0
June 2021,Finland,Europe,92642,154,45686,956,0
June 2021,France,Europe,5677172,9848,213743,109662,129
June 2021,French Guiana,South America,24212,176,14098,119,3
June 2021,French Polynesia,Australia/Oceania,18875,5,22,142,0
June 2021,Gabon,Africa,24429,0,2159,152,0
June 2021,Gambia,Africa,5993,0,34,179,0
June 2021,Georgia,Asia,345196,1233,11772,4804,31
June 2021,Germany,Europe,3692908,2990,105292,89316,168
June 2021,Ghana,Africa,94011,49,1169,785,0
June 2021,Gibraltar,Europe,4296,1,9,94,0
June 2021,Greece,Europe,404163,1857,18692,12122,27
June 2021,Greenland,North America,40,0,7,,
June 2021,Grenada,North America,161,0,0,1,
June 2021,Guadeloupe,North America,16530,0,14059,221,0
June 2021,Guatemala,North America,255833,1416,12875,8183,18
June 2021,Guinea Bissau,Africa,3770,4,182,68,0
June 2021,Guinea,Africa,23194,17,1839,162,1
June 2021,Guyana,South America,17114,162,1844,391,2
June 2021,Haiti,North America,14931,478,2058,321,10
June 2021,Holy See,Europe,27,0,0,,
June 2021,Honduras,North America,238227,646,146985,6353,37
June 2021,Hungary,Europe,804712,174,71599,29761,28
June 2021,Iceland,Europe,6590,4,40,30,0
June 2021,India,Asia,28306883,133228,1783912,351979,3702
June 2021,Indonesia,Asia,1826527,4824,101325,50723,145
June 2021,Iran,Asia,2923823,10687,365900,80327,171
June 2021,Iraq,Asia,1205522,4170,68318,16405,30
June 2021,Ireland,Europe,262319,337,12450,4972,1
June 2021,Isle Of Man,Europe,1594,2,3,29,0
June 2021,Israel,Asia,839511,36,356,6413,1
June 2021,Italy,Europe,4219831,2482,187141,126222,93
June 2021,Jamaica,North America,48594,37,22160,949,1
June 2021,Japan,Asia,746488,1568,52818,13049,82
June 2021,Jordan,Asia,737284,750,10852,9472,10
June 2021,Kazakhstan,Asia,387672,1123,25872,3974,19
June 2021,Kenya,Africa,171084,349,10096,3188,16
June 2021,Kuwait,Asia,310501,1279,13754,1775,3
June 2021,Kyrgyzstan,Asia,105111,382,4423,1815,7
June 2021,Laos,Asia,1929,17,327,3,0
June 2021,Latvia,Europe,133518,319,5283,2379,3
June 2021,Lebanon,Asia,540630,242,12422,7735,6
June 2021,Lesotho,Africa,10831,0,4071,326,0
June 2021,Liberia,Africa,2210,19,81,86,0
June 2021,Libya,Africa,186072,296,10828,3127,1
June 2021,Liechtenstein,Europe,3012,0,20,58,0
June 2021,Lithuania,Europe,274783,382,14328,4279,9
June 2021,Luxembourg,Europe,69983,51,905,817,2
June 2021,Macedonia,Europe,155302,35,1081,5423,10
June 2021,Madagascar,Africa,41366,24,877,841,2
June 2021,Malawi,Africa,34346,8,569,1156,1
June 2021,Malaysia,Asia,579462,7105,80474,2867,71
June 2021,Maldives,Asia,65164,768,24043,170,9
June 2021,Mali,Africa,14271,4,4017,517,0
June 2021,Malta,Europe,30543,8,70,419,0
June 2021,Marshall Islands,Australia/Oceania,4,0,0,,
June 2021,Martinique,North America,12040,80,11847,95,0
June 2021,Mauritania,Africa,19598,51,553,463,0
June 2021,Mauritius,Africa,1399,24,186,18,0
June 2021,Mayotte,Africa,19301,0,16164,173,0
June 2021,Mexico,North America,2413742,932,257468,227807,61
June 2021,Micronesia,Australia/Oceania,1,0,0,,
June 2021,Moldova,Europe,255241,55,1518,6114,7
June 2021,Monaco,Europe,2506,2,6,33,1
June 2021,Mongolia,Asia,59229,790,8183,283,7
June 2021,Montenegro,Europe,99652,29,785,1585,1
June 2021,Montserrat,North America,20,0,0,1,
June 2021,Morocco,Africa,519610,394,2928,9154,7
June 2021,Mozambique,Africa,70850,55,467,836,0
June 2021,Myanmar,Asia,143751,122,8174,3217,0
June 2021,Namibia,Africa,55812,263,4010,854,24
June 2021,Nepal,Asia,566587,5285,104789,7454,68
June 2021,Netherlands,Europe,1651780,2320,144156,17632,9
June 2021,New Caledonia,Australia/Oceania,128,0,70,,
June 2021,New Zealand,Australia/Oceania,2673,0,13,26,0
June 2021,Nicaragua,North America,7481,157,3069,187,1
June 2021,Niger,Africa,5410,0,135,192,0
June 2021,Nigeria,Africa,166534,16,4500,2099,0
June 2021,Norway,Europe,125576,460,35841,783,0
June 2021,Oman,Asia,218271,1047,15494,2356,11
June 2021,Pakistan,Asia,922824,1771,57336,20850,71
June 2021,Panama,North America,378828,731,6412,6377,6
June 2021,Papua New Guinea,Australia/Oceania,15938,28,688,162,0
June 2021,Paraguay,South America,358244,2860,53957,9293,107
June 2021,Peru,South America,1961087,3384,,184507,238
June 2021,Philippines,Asia,1235459,5169,53287,21012,46
June 2021,Poland,Europe,2872863,583,158335,73856,111
June 2021,Portugal,Europe,849538,445,22700,17025,0
June 2021,Qatar,Asia,217688,230,3496,560,4
June 2021,Reunion,Africa,24901,0,1916,189,0
June 2021,Romania,Europe,1077978,241,3582,33869,48
June 2021,Russia,Europe,5081417,9500,265965,121873,372
June 2021,Rwanda,Africa,27023,60,816,357,4
June 2021,Saint Barthelemy,North America,1005,0,542,1,
June 2021,Saint Helena,Africa,2,0,0,,
June 2021,Saint Kitts And Nevis,North America,69,1,22,0,
June 2021,Saint Lucia,North America,5072,5,167,79,0
June 2021,Saint Martin,North America,2022,0,605,18,0
June 2021,Saint Pierre And Miquelon,North America,25,0,0,,
June 2021,Saint Vincent And The Grenadines,North America,2044,9,200,12,0
June 2021,Samoa,Australia/Oceania,3,0,0,,
June 2021,San Marino,Europe,5090,0,2,90,0
June 2021,Sao Tome And Principe,Africa,2345,0,17,37,0
June 2021,Saudi Arabia,Asia,451687,1251,9871,7377,15
June 2021,Senegal,Africa,41433,17,198,1140,1
June 2021,Serbia,Europe,712702,230,8297,6872,7
June 2021,Seychelles,Africa,11621,0,1080,42,0
June 2021,Sierra Leone,Africa,4148,1,931,79,0
June 2021,Singapore,Asia,62069,18,555,33,0
June 2021,Sint Maarten,North America,2433,8,71,28,0
June 2021,Slovakia,Europe,389866,145,1964,12353,10
June 2021,Slovenia,Europe,254045,323,4124,4376,1
June 2021,Solomon Islands,Australia/Oceania,20,0,0,,
June 2021,Somalia,Africa,14667,5,7134,769,0
June 2021,South Africa,Africa,1669231,3614,48911,56601,95
June 2021,South Korea,Asia,140799,459,7373,1963,4
June 2021,South Sudan,Africa,10688,0,59,115,0
June 2021,Spain,Europe,3692082,4410,156976,79983,30
June 2021,Sri Lanka,Asia,189241,2877,34343,1527,43
June 2021,State Of Palestine,Asia,308732,382,4310,3503,6
June 2021,Sudan,Africa,35656,144,3630,2662,31
June 2021,Suriname,South America,15128,174,2938,313,11
June 2021,Swaziland,Africa,18601,6,52,673,0
June 2021,Sweden,Europe,1075761,2789,90272,14526,6
June 2021,Switzerland,Europe,695496,756,33397,10826,16
June 2021,Syria,Asia,24529,34,1146,1774,4
June 2021,Taiwan,Asia,9230,342,7583,137,13
June 2021,Tajikistan,Asia,13308,0,0,90,0
June 2021,Tanzania,Africa,509,0,305,21,0
June 2021,Thailand,Asia,162022,2230,49218,1069,38
June 2021,Timor Leste,Asia,7161,167,2630,16,0
June 2021,Togo,Africa,13481,15,406,125,0
June 2021,Trinidad And Tobago,North America,24314,405,9558,507,12
June 2021,Tunisia,Africa,346986,1512,29211,12720,66
June 2021,Turkey,Asia,5256516,7112,84779,47656,129
June 2021,Turks And Caicos Islands,North America,2417,0,19,17,0
June 2021,Uganda,Africa,47761,614,994,617,0
June 2021,UK,Europe,4485137,3164,93027,127818,0
June 2021,Ukraine,Europe,2204631,2137,100765,50699,163
June 2021,United Arab Emirates,Asia,572804,1968,18641,1684,4
June 2021,Uruguay,South America,298006,3503,36634,4342,66
June 2021,USA,North America,34020368,12387,5474605,610466,309
June 2021,Uzbekistan,Asia,100495,160,3582,690,0
June 2021,Vanuatu,Australia/Oceania,4,0,0,1,
June 2021,Venezuela,South America,235567,1402,16160,2661,15
June 2021,Viet Nam,Asia,7572,251,4481,48,1
June 2021,Wallis And Futuna Islands,Australia/Oceania,445,0,0,7,0
June 2021,Western Sahara,Africa,10,0,1,1,
June 2021,Yemen,Asia,6751,9,1957,1322,1
June 2021,Zambia,Africa,95821,558,2500,1282,1
June 2021,Zimbabwe,Africa,38998,37,775,1599,3
May 2021,Afghanistan,Asia,60122,180,4213,2637,6
May 2021,Albania,Europe,131185,100,18617,2396,2
May 2021,Algeria,Africa,122311,203,33801,3261,8
May 2021,Andorra,Europe,13232,0,423,125,0
May 2021,Angola,Africa,26815,163,2302,600,4
May 2021,Anguilla,North America,93,0,64,,
May 2021,Antigua And Barbuda,North America,1229,0,47,32,0
May 2021,Argentina,South America,2993865,16502,274410,64096,231
May 2021,Armenia,Asia,216596,532,13353,4128,20
May 2021,Aruba,North America,10650,12,149,99,0
May 2021,Australia,Australia/Oceania,29812,11,285,910,0
May 2021,Austria,Europe,620485,1615,23137,10233,28
May 2021,Azerbaijan,Asia,320322,1213,24220,4538,21
May 2021,Bahamas,North America,10453,0,760,199,0
May 2021,Bahrain,Asia,177997,1063,10498,648,2
May 2021,Bangladesh,Asia,760584,1452,64403,11510,60
May 2021,Barbados,North America,3863,8,36,44,0
May 2021,Belarus,Europe,359982,1244,6997,2552,10
May 2021,Belgium,Europe,990229,3607,107731,24230,45
May 2021,Belize,North America,12668,0,127,323,0
May 2021,Benin,Africa,7821,0,142,99,0
May 2021,Bermuda,North America,2393,0,545,28,0
May 2021,Bhutan,Asia,1106,32,115,1,0
May 2021,Bolivia,South America,305594,1862,40955,12975,24
May 2021,Bosnia And Herzegovina,Europe,198461,0,30687,8551,0
May 2021,Botswana,Africa,46934,0,1198,776,0
May 2021,Brazil,South America,14760366,60308,1111136,406565,2278
May 2021,British Virgin Islands,North America,194,0,2,1,0
May 2021,Brunei Darussalam,Asia,227,3,6,3,0
May 2021,Bulgaria,Europe,404846,466,48513,16444,45
May 2021,Burkina Faso,Africa,13319,9,109,157,0
May 2021,Burundi,Africa,4018,23,3239,6,0
May 2021,Cabo Verde,Africa,24127,245,3196,220,3
May 2021,Cambodia,Asia,13790,388,8493,97,4
May 2021,Cameroon,Africa,72250,0,3518,1107,0
May 2021,Canada,North America,1227035,7610,83495,24261,42
May 2021,Caribbean Netherlands,North America,1559,1,13,16,0
May 2021,Cayman Islands,North America,543,0,15,2,0
May 2021,Central African Republic,Africa,6411,0,1211,88,0
May 2021,Chad,Africa,4824,7,224,170,0
May 2021,Channel Islands,Europe,4055,0,13,86,0
May 2021,Chile,South America,1204755,6510,41482,26457,104
May 2021,China Hong Kong Sar,Asia,11783,8,141,210,1
May 2021,China Macao Sar,Asia,49,0,0,,
May 2021,China,South America,90671,16,325,4636,0
May 2021,Colombia,South America,2877746,18022,117132,74215,495
May 2021,Comoros,Africa,3838,4,18,146,0
May 2021,Congo,Africa,10678,0,2326,144,0
May 2021,Costa Rica,North America,252982,1991,46205,3254,23
May 2021,Cote D Ivoire,Africa,46114,78,246,286,0
May 2021,Croatia,Europe,334229,2046,14276,7130,49
May 2021,Cuba,North America,107622,915,5493,654,10
May 2021,Curacao,North America,12207,12,432,110,1
May 2021,Cyprus,Asia,65909,676,14404,312,4
May 2021,Czech Republic,Europe,1633605,2167,31113,29621,50
May 2021,Democratic Republic Of The Congo,Africa,29904,51,2886,768,2
May 2021,Denmark,Europe,252045,617,9643,2489,4
May 2021,Djibouti,Africa,11121,21,228,145,2
May 2021,Dominica,North America,174,0,2,,
May 2021,Dominican Republic,North America,266861,300,36107,3487,7
May 2021,Ecuador,South America,384589,2727,37696,28295,89
May 2021,Egypt,Africa,228584,1032,43640,13402,63
May 2021,El Salvador,North America,69198,0,2198,2124,0
May 2021,Equatorial Guinea,Africa,7694,0,303,112,0
May 2021,Eritrea,Africa,3671,0,169,10,0
May 2021,Estonia,Europe,122511,469,9338,1166,5
May 2021,Ethiopia,Africa,258062,620,54205,3709,21
May 2021,Faeroe Islands,Europe,664,0,1,1,0
May 2021,Falkland Islands Malvinas,South America,63,0,1,,
May 2021,Fiji,Australia/Oceania,119,2,49,2,0
